hour,day_of_week,location,latitude,longitude,demand,supply
0,0,downtown,12.9716,77.5946,52,49
1,0,downtown,12.9716,77.5946,46,44
2,0,downtown,12.9716,77.5946,39,38
7,0,downtown,12.9716,77.5946,92,80
8,0,downtown,12.9716,77.5946,110,91
9,0,downtown,12.9716,77.5946,120,98
17,0,downtown,12.9716,77.5946,138,104
18,0,downtown,12.9716,77.5946,152,112
19,0,downtown,12.9716,77.5946,141,109
22,0,downtown,12.9716,77.5946,96,85
7,1,airport,13.1986,77.7066,118,103
8,1,airport,13.1986,77.7066,127,108
9,1,airport,13.1986,77.7066,131,111
17,1,airport,13.1986,77.7066,146,118
18,1,airport,13.1986,77.7066,158,126
19,1,airport,13.1986,77.7066,149,121
22,1,airport,13.1986,77.7066,113,101
7,2,midtown,12.9802,77.6408,84,78
8,2,midtown,12.9802,77.6408,95,86
9,2,midtown,12.9802,77.6408,101,89
17,2,midtown,12.9802,77.6408,119,98
18,2,midtown,12.9802,77.6408,126,102
19,2,midtown,12.9802,77.6408,121,100
22,2,midtown,12.9802,77.6408,88,81
7,3,suburb,12.9153,77.5135,66,71
8,3,suburb,12.9153,77.5135,72,74
9,3,suburb,12.9153,77.5135,77,76
17,3,suburb,12.9153,77.5135,96,88
18,3,suburb,12.9153,77.5135,105,92
19,3,suburb,12.9153,77.5135,101,90
22,3,suburb,12.9153,77.5135,74,76
7,4,downtown,12.9716,77.5946,101,84
8,4,downtown,12.9716,77.5946,118,93
9,4,downtown,12.9716,77.5946,126,101
17,4,downtown,12.9716,77.5946,151,108
18,4,downtown,12.9716,77.5946,163,116
19,4,downtown,12.9716,77.5946,154,112
22,4,downtown,12.9716,77.5946,109,89
7,5,airport,13.1986,77.7066,131,109
8,5,airport,13.1986,77.7066,144,114
9,5,airport,13.1986,77.7066,152,120
17,5,airport,13.1986,77.7066,166,127
18,5,airport,13.1986,77.7066,177,132
19,5,airport,13.1986,77.7066,168,129
22,5,airport,13.1986,77.7066,127,106
7,6,midtown,12.9802,77.6408,92,83
8,6,midtown,12.9802,77.6408,101,89
9,6,midtown,12.9802,77.6408,108,93
17,6,midtown,12.9802,77.6408,129,102
18,6,midtown,12.9802,77.6408,137,106
19,6,midtown,12.9802,77.6408,132,104
22,6,midtown,12.9802,77.6408,97,87
13,5,mumbai_bandra,19.0596,72.8295,106,91
11,3,thiruvananthapuram_palayam,8.5241,76.9366,95,77
16,5,bengaluru_whitefield,12.9698,77.7500,77,102
12,5,jaipur_sitapura,26.7997,75.8351,62,86
10,1,visakhapatnam_beach_road,17.6868,83.2185,136,74
10,4,india_gate,28.6129,77.2295,157,73
7,0,hyderabad_hitech_city,17.4435,78.3772,242,87
3,0,visakhapatnam_beach_road,17.6868,83.2185,59,71
13,6,kolkata_salt_lake,22.5862,88.4143,85,85
20,6,srinagar_lal_chowk,34.0837,74.7973,125,54
21,2,coimbatore_race_course,11.0168,76.9558,150,77
9,1,mumbai_bandra,19.0596,72.8295,234,70
15,5,midtown,12.9802,77.6408,88,86
20,1,suburb,12.9153,77.5135,106,80
11,4,guwahati_paltan_bazaar,26.1445,91.7362,102,84
8,0,suburb,12.9153,77.5135,104,77
2,6,guwahati_paltan_bazaar,26.1445,91.7362,54,64
2,6,thiruvananthapuram_palayam,8.5241,76.9366,55,78
21,0,bhubaneswar_janpath,20.2961,85.8245,149,73
10,1,indore_vijay_nagar,22.7196,75.8577,169,72
13,3,bhubaneswar_janpath,20.2961,85.8245,90,75
2,6,bhubaneswar_janpath,20.2961,85.8245,62,79
11,4,jaipur_sitapura,26.7997,75.8351,80,79
11,4,srinagar_lal_chowk,34.0837,74.7973,80,76
8,6,ahmedabad_cg_road,23.0225,72.5714,143,72
14,0,coimbatore_race_course,11.0168,76.9558,92,83
12,3,kolkata_salt_lake,22.5862,88.4143,85,87
7,2,bengaluru_whitefield,12.9698,77.7500,131,96
2,5,hyderabad_secunderabad,17.4399,78.4983,48,80
18,4,india_gate,28.6129,77.2295,186,79
11,1,bhopal_mp_nagar,23.2599,77.4126,97,72
20,6,gurugram_sohna_road,28.4089,77.0383,127,83
10,3,coimbatore_race_course,11.0168,76.9558,123,73
15,0,ahmedabad_cg_road,23.0225,72.5714,87,77
9,1,bengaluru_whitefield,12.9698,77.7500,123,81
18,2,jaipur_mi_road,26.9128,75.7873,144,77
3,1,gurugram_sohna_road,28.4089,77.0383,64,85
17,5,airport,13.1986,77.7066,201,76
20,2,india_gate,28.6129,77.2295,185,78
13,0,airport,13.1986,77.7066,148,102
12,4,connaught_place,28.6315,77.2167,118,93
4,1,vadodara_alkapuri,22.3072,73.1812,63,71
22,0,mumbai_andheri,19.1197,72.8468,69,93
0,1,ahmedabad_cg_road,23.0225,72.5714,71,90
10,1,jaipur_sitapura,26.7997,75.8351,129,74
0,4,bhubaneswar_janpath,20.2961,85.8245,65,90
20,3,srinagar_lal_chowk,34.0837,74.7973,132,67
8,4,kolkata_esplanade,22.5728,88.3639,166,85
15,5,bengaluru_indiranagar,12.9784,77.6408,117,81
11,6,jaipur_sitapura,26.7997,75.8351,84,79
17,3,guwahati_paltan_bazaar,26.1445,91.7362,141,72
18,0,pune_hinjewadi,18.5917,73.7389,141,85
14,3,lucknow_hazratganj,26.8467,80.9462,103,94
17,2,jaipur_mi_road,26.9128,75.7873,132,78
10,4,kolkata_salt_lake,22.5862,88.4143,159,63
2,3,downtown,12.9716,77.5946,78,82
14,5,guwahati_paltan_bazaar,26.1445,91.7362,79,66
14,2,bhopal_mp_nagar,23.2599,77.4126,74,90
0,5,bengaluru_indiranagar,12.9784,77.6408,70,98
15,2,midtown,12.9802,77.6408,100,78
14,6,suburb,12.9153,77.5135,60,90
0,0,hyderabad_hitech_city,17.4435,78.3772,75,82
22,1,gurugram_sohna_road,28.4089,77.0383,67,89
20,0,surat_adajan,21.1702,72.8311,129,70
10,6,mumbai_andheri,19.1197,72.8468,140,84
7,0,srinagar_lal_chowk,34.0837,74.7973,146,67
20,2,suburb,12.9153,77.5135,126,77
8,2,kochi_mg_road,9.9312,76.2673,144,69
10,6,chennai_t_nagar,13.0418,80.2337,173,87
3,0,thiruvananthapuram_palayam,8.5241,76.9366,59,73
2,2,thiruvananthapuram_palayam,8.5241,76.9366,49,81
8,6,midtown,12.9802,77.6408,145,79
19,0,gurugram_sohna_road,28.4089,77.0383,154,77
21,5,hyderabad_secunderabad,17.4399,78.4983,129,78
4,4,downtown,12.9716,77.5946,83,93
5,4,midtown,12.9802,77.6408,61,92
3,2,kolkata_esplanade,22.5728,88.3639,66,81
10,5,suburb,12.9153,77.5135,122,65
17,6,visakhapatnam_beach_road,17.6868,83.2185,129,72
11,0,noida_greater_noida,28.4744,77.5031,85,92
5,2,suburb,12.9153,77.5135,40,82
23,1,mumbai_bandra,19.0596,72.8295,93,87
15,2,bhubaneswar_janpath,20.2961,85.8245,84,73
12,5,mumbai_bandra,19.0596,72.8295,109,74
5,2,kolkata_salt_lake,22.5862,88.4143,57,90
12,5,noida_greater_noida,28.4744,77.5031,56,97
6,5,downtown,12.9716,77.5946,129,76
14,2,hyderabad_secunderabad,17.4399,78.4983,85,97
23,4,bhopal_mp_nagar,23.2599,77.4126,65,82
8,4,pune_hinjewadi,18.5917,73.7389,180,75
4,0,surat_adajan,21.1702,72.8311,53,89
0,5,jaipur_sitapura,26.7997,75.8351,38,72
5,4,jaipur_sitapura,26.7997,75.8351,45,79
14,0,bengaluru_indiranagar,12.9784,77.6408,124,87
16,4,visakhapatnam_beach_road,17.6868,83.2185,102,87
3,0,kolkata_esplanade,22.5728,88.3639,73,80
3,4,ahmedabad_cg_road,23.0225,72.5714,61,100
5,3,airport,13.1986,77.7066,83,95
14,0,ahmedabad_cg_road,23.0225,72.5714,100,78
12,5,indore_vijay_nagar,22.7196,75.8577,65,76
18,2,suburb,12.9153,77.5135,122,69
15,3,bhopal_mp_nagar,23.2599,77.4126,73,75
7,1,surat_adajan,21.1702,72.8311,121,77
8,2,chandigarh_sector_17,30.7333,76.7794,131,81
20,2,thiruvananthapuram_palayam,8.5241,76.9366,134,64
23,2,vadodara_alkapuri,22.3072,73.1812,55,82
16,5,visakhapatnam_beach_road,17.6868,83.2185,95,69
14,6,mysuru_jayalakshmipuram,12.2958,76.6394,60,70
17,1,nagpur_sitabuildi,21.1458,79.0882,142,79
16,3,hyderabad_hitech_city,17.4435,78.3772,126,92
23,4,kolkata_salt_lake,22.5862,88.4143,64,82
14,5,downtown,12.9716,77.5946,104,74
4,5,mumbai_bandra,19.0596,72.8295,75,85
13,1,jaipur_sitapura,26.7997,75.8351,59,76
8,5,chennai_t_nagar,13.0418,80.2337,143,68
4,6,coimbatore_race_course,11.0168,76.9558,53,73
22,3,suburb,12.9153,77.5135,42,83
7,1,mysuru_jayalakshmipuram,12.2958,76.6394,153,67
8,6,srinagar_lal_chowk,34.0837,74.7973,124,69
15,0,chandigarh_sector_17,30.7333,76.7794,74,83
23,2,thiruvananthapuram_palayam,8.5241,76.9366,61,84
11,1,india_gate,28.6129,77.2295,103,105
14,5,mumbai_bandra,19.0596,72.8295,128,87
11,4,gurugram_sohna_road,28.4089,77.0383,102,91
3,0,indore_vijay_nagar,22.7196,75.8577,66,72
3,2,hyderabad_secunderabad,17.4399,78.4983,61,82
3,1,pune_hinjewadi,18.5917,73.7389,69,80
20,4,pune_hinjewadi,18.5917,73.7389,154,82
6,1,mumbai_bandra,19.0596,72.8295,162,102
1,3,airport,13.1986,77.7066,86,95
2,2,midtown,12.9802,77.6408,69,95
10,6,chennai_omr,12.8407,80.2244,128,77
0,6,jaipur_sitapura,26.7997,75.8351,50,81
6,1,hyderabad_secunderabad,17.4399,78.4983,86,81
17,6,kolkata_esplanade,22.5728,88.3639,168,65
13,3,coimbatore_race_course,11.0168,76.9558,82,87
19,3,mumbai_bandra,19.0596,72.8295,212,81
21,2,visakhapatnam_beach_road,17.6868,83.2185,161,76
21,3,visakhapatnam_beach_road,17.6868,83.2185,149,75
3,5,gurugram_cyber_city,28.4949,77.0887,70,89
22,5,chandigarh_sector_17,30.7333,76.7794,63,86
21,1,ahmedabad_cg_road,23.0225,72.5714,133,70
21,4,chandigarh_sector_17,30.7333,76.7794,138,78
11,5,jaipur_mi_road,26.9128,75.7873,93,78
4,2,jaipur_mi_road,26.9128,75.7873,57,88
2,5,thiruvananthapuram_palayam,8.5241,76.9366,57,78
11,5,visakhapatnam_beach_road,17.6868,83.2185,85,74
7,0,hyderabad_secunderabad,17.4399,78.4983,138,76
14,2,kolkata_esplanade,22.5728,88.3639,86,91
23,2,kolkata_salt_lake,22.5862,88.4143,69,85
9,6,bhopal_mp_nagar,23.2599,77.4126,132,63
4,4,visakhapatnam_beach_road,17.6868,83.2185,66,73
19,0,visakhapatnam_beach_road,17.6868,83.2185,131,74
17,3,noida_greater_noida,28.4744,77.5031,133,74
1,2,mysuru_jayalakshmipuram,12.2958,76.6394,48,75
13,3,kochi_mg_road,9.9312,76.2673,94,92
8,6,jaipur_sitapura,26.7997,75.8351,125,75
21,2,vadodara_alkapuri,22.3072,73.1812,158,61
5,6,ahmedabad_cg_road,23.0225,72.5714,66,90
18,6,ahmedabad_cg_road,23.0225,72.5714,170,83
18,6,jaipur_mi_road,26.9128,75.7873,141,78
7,0,bhubaneswar_janpath,20.2961,85.8245,140,66
15,3,ahmedabad_cg_road,23.0225,72.5714,79,90
10,2,india_gate,28.6129,77.2295,164,90
14,2,nagpur_sitabuildi,21.1458,79.0882,81,70
7,1,hyderabad_secunderabad,17.4399,78.4983,138,85
17,4,guwahati_paltan_bazaar,26.1445,91.7362,130,65
6,5,gurugram_sohna_road,28.4089,77.0383,80,73
11,1,airport,13.1986,77.7066,155,104
10,2,chennai_t_nagar,13.0418,80.2337,185,78
15,1,noida_greater_noida,28.4744,77.5031,82,81
10,6,downtown,12.9716,77.5946,197,73
15,6,suburb,12.9153,77.5135,57,81
23,3,nagpur_sitabuildi,21.1458,79.0882,51,70
11,5,connaught_place,28.6315,77.2167,112,100
10,4,suburb,12.9153,77.5135,134,79
23,3,bengaluru_whitefield,12.9698,77.7500,60,103
6,1,suburb,12.9153,77.5135,69,75
9,6,guwahati_paltan_bazaar,26.1445,91.7362,106,58
7,0,chennai_omr,12.8407,80.2244,146,71
13,0,chandigarh_sector_17,30.7333,76.7794,78,82
13,3,thiruvananthapuram_palayam,8.5241,76.9366,91,83
23,3,hyderabad_secunderabad,17.4399,78.4983,53,93
8,5,connaught_place,28.6315,77.2167,163,72
10,5,ahmedabad_cg_road,23.0225,72.5714,128,83
10,5,kolkata_esplanade,22.5728,88.3639,175,75
19,1,midtown,12.9802,77.6408,183,77
9,2,vadodara_alkapuri,22.3072,73.1812,124,66
22,2,airport,13.1986,77.7066,108,107
18,3,coimbatore_race_course,11.0168,76.9558,155,71
10,5,mumbai_bandra,19.0596,72.8295,178,74
11,6,srinagar_lal_chowk,34.0837,74.7973,90,63
20,4,connaught_place,28.6315,77.2167,196,79
10,5,thiruvananthapuram_palayam,8.5241,76.9366,111,61
7,0,hyderabad_secunderabad,17.4399,78.4983,145,76
16,6,coimbatore_race_course,11.0168,76.9558,97,83
8,0,hyderabad_secunderabad,17.4399,78.4983,176,81
2,0,guwahati_paltan_bazaar,26.1445,91.7362,62,74
19,2,nagpur_sitabuildi,21.1458,79.0882,128,65
3,2,thiruvananthapuram_palayam,8.5241,76.9366,60,77
9,5,visakhapatnam_beach_road,17.6868,83.2185,144,75
19,1,gurugram_cyber_city,28.4949,77.0887,195,90
23,2,guwahati_paltan_bazaar,26.1445,91.7362,52,79
11,5,guwahati_paltan_bazaar,26.1445,91.7362,88,63
13,2,jaipur_mi_road,26.9128,75.7873,76,94
8,3,hyderabad_hitech_city,17.4435,78.3772,206,76
6,1,kolkata_salt_lake,22.5862,88.4143,84,93
18,2,bengaluru_whitefield,12.9698,77.7500,163,81
15,0,suburb,12.9153,77.5135,61,80
18,5,mumbai_andheri,19.1197,72.8468,136,73
10,4,chandigarh_sector_17,30.7333,76.7794,142,68
17,0,india_gate,28.6129,77.2295,190,76
15,6,mumbai_andheri,19.1197,72.8468,99,100
6,2,jaipur_sitapura,26.7997,75.8351,90,79
21,4,pune_hinjewadi,18.5917,73.7389,181,83
16,0,pune_hinjewadi,18.5917,73.7389,114,97
10,1,hyderabad_hitech_city,17.4435,78.3772,226,84
5,4,thiruvananthapuram_palayam,8.5241,76.9366,56,75
8,2,airport,13.1986,77.7066,215,86
11,2,midtown,12.9802,77.6408,91,79
20,5,india_gate,28.6129,77.2295,172,85
5,5,coimbatore_race_course,11.0168,76.9558,61,68
19,5,chennai_t_nagar,13.0418,80.2337,159,81
7,4,kolkata_salt_lake,22.5862,88.4143,171,75
20,4,midtown,12.9802,77.6408,133,66
17,4,kolkata_esplanade,22.5728,88.3639,191,88
22,6,chandigarh_sector_17,30.7333,76.7794,57,74
11,3,connaught_place,28.6315,77.2167,142,98
13,2,kolkata_salt_lake,22.5862,88.4143,89,83
4,3,thiruvananthapuram_palayam,8.5241,76.9366,59,70
11,2,lucknow_hazratganj,26.8467,80.9462,96,83
23,4,lucknow_hazratganj,26.8467,80.9462,58,96
18,6,kolkata_esplanade,22.5728,88.3639,153,71
15,5,suburb,12.9153,77.5135,58,78
9,5,bhopal_mp_nagar,23.2599,77.4126,116,74
22,2,srinagar_lal_chowk,34.0837,74.7973,58,76
10,5,suburb,12.9153,77.5135,115,78
2,2,mumbai_bandra,19.0596,72.8295,85,90
8,2,midtown,12.9802,77.6408,154,82
10,0,mumbai_andheri,19.1197,72.8468,149,80
8,4,vadodara_alkapuri,22.3072,73.1812,134,66
1,0,kolkata_esplanade,22.5728,88.3639,71,81
14,1,mumbai_andheri,19.1197,72.8468,90,89
1,2,hyderabad_secunderabad,17.4399,78.4983,61,91
1,6,downtown,12.9716,77.5946,89,83
10,0,gurugram_cyber_city,28.4949,77.0887,183,81
